"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.ID","Gene.symbol","Gene.title"
"228335_at","228335_at",4.46805885131681e-21,1.17959207226274e-25,55.5732370802948,44.7071922792351,6.33341597299496,"5010","CLDN11","claudin 11"
"202992_at","202992_at",2.65585200020605e-19,1.4023190243445e-23,44.8906171706513,41.506298050125,6.30781131428752,"730","C7","complement component 7"
"204971_at","204971_at",4.29893247830949e-17,3.40482534318825e-21,35.0789615196873,37.2766953631862,3.97640759334591,"1475","CSTA","cystatin A"
"1562736_at","1562736_at",1.66829456222827e-16,1.76175570223165e-20,32.570989739959,35.9132710034908,2.86623177366132,"56956","LHX9","LIM homeobox 9"
"228504_at","228504_at",2.25778309662711e-16,2.9803356785299e-20,31.8058825566689,35.4688455494226,5.1097221098267,"6332","SCN7A","sodium voltage-gated channel alpha subunit 7"
"208131_s_at","208131_s_at",4.7242233091872e-16,7.48332537492033e-20,30.5073170468612,34.6813734896077,4.93387347704583,"5740","PTGIS","prostaglandin I2 (prostacyclin) synthase"
"212190_at","212190_at",1.44450175768184e-15,2.92633772178162e-19,28.676430069139,33.4945768891663,4.11695957815239,"5270","SERPINE2","serpin family E member 2"
"210002_at","210002_at",1.44450175768184e-15,3.05085116992838e-19,28.6221637337979,33.4579465169465,4.94989481498595,"2627","GATA6","GATA binding protein 6"
"238878_at","238878_at",1.64525285897548e-15,4.52178603407361e-19,28.1144958162042,33.1110090827109,4.67495258945056,"170302","ARX","aristaless related homeobox"
"219778_at","219778_at",1.64525285897548e-15,4.54262673434061e-19,28.1086138441135,33.106943780969,3.15862759797844,"23414","ZFPM2","zinc finger protein, FOG family member 2"
"203710_at","203710_at",1.64525285897548e-15,4.7779136830694e-19,28.0440954904256,33.0622827951544,2.92672886341084,"3708","ITPR1","inositol 1,4,5-trisphosphate receptor type 1"
"209560_s_at","209560_s_at",2.20649441085863e-15,6.99031969224973e-19,27.5624152956879,32.7247881717655,5.98814039894409,"8788","DLK1","delta like non-canonical Notch ligand 1"
"201431_s_at","201431_s_at",3.38858571194608e-15,1.16298680646547e-18,26.9302481579023,32.2706999803228,3.51211830534117,"1809","DPYSL3","dihydropyrimidinase like 3"
"238512_at","238512_at",4.32766430688943e-15,1.5995379982167e-18,26.5414230557496,31.9849139178554,3.54858735714524,"7482","WNT2B","Wnt family member 2B"
"244455_at","244455_at",8.94708262027121e-15,3.54311841449042e-18,25.5940868957165,31.2670263696579,3.03519061187238,"343450","KCNT2","potassium sodium-activated channel subfamily T member 2"
"204931_at","204931_at",1.16591123236332e-14,4.9249114836615e-18,25.2111863640122,30.9678420462332,4.48175496224014,"6943","TCF21","transcription factor 21"
"202796_at","202796_at",1.41196219393683e-14,6.33701813636572e-18,24.9216733310176,30.7380523979317,2.59160760708856,"11346","SYNPO","synaptopodin"
"204591_at","204591_at",1.8496985798518e-14,8.78995048242581e-18,24.5505399147331,30.4388700591456,4.76035035121538,"10752","CHL1","cell adhesion molecule L1 like"
"226769_at","226769_at",2.01831452874399e-14,1.0124076256966e-17,24.3918563351692,30.3093398762632,3.6116899022525,"387758","FIBIN","fin bud initiation factor homolog (zebrafish)"
"216944_s_at","216944_s_at",3.9855490874376e-14,2.1044136899718e-17,23.5853002899465,29.6355854938574,2.78416200858405,"3708","ITPR1","inositol 1,4,5-trisphosphate receptor type 1"
"211323_s_at","211323_s_at",1.08437932366205e-13,6.01192401840201e-17,22.4712023021676,28.660531536534,2.12294222057641,"3708","ITPR1","inositol 1,4,5-trisphosphate receptor type 1"
"213800_at","213800_at",1.76411717237629e-13,1.02462056582392e-16,21.9240546454095,28.161666183791,4.15884458450715,"3075","CFH","complement factor H"
"213438_at","213438_at",1.80788369872007e-13,1.09776981547499e-16,21.8541851657976,28.0969727892518,3.5773797957605,"23114","NFASC","neurofascin"
"229849_at","229849_at",1.81297875888667e-13,1.14872723515708e-16,21.8083227604503,28.0543841434537,3.30586750384452,"644150","WIPF3","WAS/WASL interacting protein family member 3"
"204223_at","204223_at",1.9616160491281e-13,1.2946935220498e-16,21.6878363382478,27.9420279552654,3.48510329405614,"5549","PRELP","proline and arginine rich end leucine rich repeat protein"
"227971_at","227971_at",2.53716121311864e-13,1.7415436807932e-16,21.3918015834268,27.6630418225696,3.86836228748662,"203447","NRK","Nik related kinase"
"219121_s_at","219121_s_at",3.44400732667597e-13,2.54586316983281e-16,-21.0180657625936,27.3047671826147,-2.1302724789579,"54845","ESRP1","epithelial splicing regulatory protein 1"
"215506_s_at","215506_s_at",4.55348890203553e-13,3.63703251861534e-16,20.672373273751,26.9671952983894,4.57516035857378,"9077","DIRAS3","DIRAS family GTPase 3"
"206584_at","206584_at",4.55348890203553e-13,3.84686743928235e-16,20.6184834557437,26.9140255943265,2.82571672981488,"23643","LY96","lymphocyte antigen 96"
"234103_at","234103_at",5.15382814350431e-13,4.49010847287719e-16,20.4705898422725,26.7673410887076,3.64417129133883,"343450","KCNT2","potassium sodium-activated channel subfamily T member 2"
"203868_s_at","203868_s_at",6.96216242612899e-13,6.24936698052658e-16,20.1575679929897,26.4531194962275,3.89083273453841,"7412","VCAM1","vascular cell adhesion molecule 1"
"242940_x_at","242940_x_at",1.07932628512207e-12,9.97318231672008e-16,-19.7223456219734,26.0075431366167,-3.80551654867711,"1750","DLX6","distal-less homeobox 6"
"1552910_at","1552910_at",1.21811504308545e-12,1.15772061753725e-15,19.5852628351398,25.8650572491601,3.50361186662318,"114132","SIGLEC11","sialic acid binding Ig like lectin 11"
"229942_at","229942_at",1.38119708999541e-12,1.38564574211484e-15,19.4212082335806,25.6931610689044,2.80415510818198,"54796","BNC2","basonuclin 2"
"202525_at","202525_at",1.73407574181347e-12,1.78544152095478e-15,-19.1918795622615,25.4503232744963,-2.14691860763863,"5652","PRSS8","protease, serine 8"
"214238_at","214238_at",2.14803901717372e-12,2.26837638436425e-15,-18.9775218969401,25.2206083193325,-3.38849460631148,"151449","GDF7","growth differentiation factor 7"
"235141_at","235141_at",2.18388726192926e-12,2.36388874119805e-15,-18.9408076573943,25.1809956908998,-2.16984960742292,"153562","MARVELD2","MARVEL domain containing 2"
"236123_at","236123_at",2.43764431373845e-12,2.7029162357309e-15,18.8219374021664,25.052198021278,2.46866842564614,"7482","WNT2B","Wnt family member 2B"
"210103_s_at","210103_s_at",3.10987514901478e-12,3.69966324344043e-15,-18.5460978773747,24.7500856913252,-2.15333494772195,"3170","FOXA2","forkhead box A2"
"203953_s_at","203953_s_at",3.10987514901478e-12,3.74303002174122e-15,-18.535926674657,24.7388582838847,-3.53974551274152,"1365","CLDN3","claudin 3"
"204114_at","204114_at",3.10987514901478e-12,3.82480807470799e-15,18.5170761997659,24.7180337452922,2.02234088734429,"22795","NID2","nidogen 2"
"218186_at","218186_at",4.1746112642137e-12,5.29017742970214e-15,-18.2362081561829,24.4051792873722,-2.83067845383162,"57111","RAB25","RAB25, member RAS oncogene family"
"221796_at","221796_at",4.79324771074402e-12,6.32721858432866e-15,18.0828029269891,24.2322414106237,3.95401082017426,"4915","NTRK2","neurotrophic receptor tyrosine kinase 2"
"219388_at","219388_at",5.0982708292701e-12,6.86445462518547e-15,-18.0133390608244,24.1534469268964,-2.08806942024168,"79977","GRHL2","grainyhead like transcription factor 2"
"203178_at","203178_at",5.57294308198871e-12,7.65069539741837e-15,17.9212713588174,24.0485414096533,3.00274987689079,"2628","GATM","glycine amidinotransferase"
"226248_s_at","226248_s_at",8.24019048898851e-12,1.19207914943707e-14,-17.5490031871347,23.6188075027381,-3.56354768793003,"57535","KIAA1324","KIAA1324"
"242828_at","242828_at",8.24019048898851e-12,1.19650054621249e-14,17.5459241579188,23.615215527919,2.4144361889613,"55137","FIGN","fidgetin, microtubule severing factor"
"239185_at","239185_at",8.56078106923996e-12,1.26565219884217e-14,17.4992517997103,23.5606913227101,2.47955986576564,"10350","ABCA9","ATP binding cassette subfamily A member 9"
"205792_at","205792_at",8.73474598287195e-12,1.31443191568642e-14,17.4678991415609,23.5239832738877,3.36296541459519,"8839","WISP2","WNT1 inducible signaling pathway protein 2"
"226492_at","226492_at",9.41675202747368e-12,1.44192306244647e-14,17.3913559232475,23.4340915254337,2.6911358411078,"80031","SEMA6D","semaphorin 6D"
"204688_at","204688_at",1.27252591715317e-11,2.0157229798086e-14,17.1167864397812,23.108404828045,2.67309556431124,"8910","SGCE","sarcoglycan epsilon"
"218763_at","218763_at",1.47566061286982e-11,2.37645328119381e-14,-16.9832308965171,22.9481306378889,-2.98513460510959,"53407","STX18","syntaxin 18"
"226803_at","226803_at",1.51404149336822e-11,2.47823466362611e-14,-16.9493534818144,22.9072804034677,-2.00048874234301,"92421","CHMP4C","charged multivesicular body protein 4C"
"205366_s_at","205366_s_at",1.56187355508475e-11,2.59776213026926e-14,-16.911371822471,22.8613865769906,-2.89997656940882,"3216","HOXB6","homeobox B6"
"212686_at","212686_at",1.77238252380506e-11,2.9946798015609e-14,-16.7971644413217,22.7227824045106,-2.8768083445482,"57460","PPM1H","protein phosphatase, Mg2+/Mn2+ dependent 1H"
"221795_at","221795_at",1.95869508155684e-11,3.46461192418576e-14,16.6807721921785,22.5805841293185,3.33325721692199,"4915","NTRK2","neurotrophic receptor tyrosine kinase 2"
"209621_s_at","209621_s_at",1.9822030736179e-11,3.55852497507833e-14,16.659491079841,22.5544810171294,3.21715493401465,"27295","PDLIM3","PDZ and LIM domain 3"
"211276_at","211276_at",2.04003777371506e-11,3.71621010576955e-14,16.6250407647349,22.5121564924781,3.02751356667289,"140597","TCEAL2","transcription elongation factor A like 2"
"225792_at","225792_at",2.16282110038172e-11,3.99697653061726e-14,-16.5673077334727,22.4410377670308,-2.85282083303951,"51361","HOOK1","hook microtubule tethering protein 1"
"227526_at","227526_at",2.28028343935022e-11,4.27425218316345e-14,16.5142943875828,22.3755227207053,2.66940059533351,"50937","CDON","cell adhesion associated, oncogene regulated"
"213707_s_at","213707_s_at",2.40530157974253e-11,4.57209234229531e-14,-16.4611969975404,22.3097010394581,-2.97103027707855,"1749","DLX5","distal-less homeobox 5"
"206167_s_at","206167_s_at",2.47724313414899e-11,4.7742422723712e-14,16.4271710858059,22.2674140119403,2.88149781669624,"395","ARHGAP6","Rho GTPase activating protein 6"
"225846_at","225846_at",2.52052697175039e-11,4.92420391545301e-14,-16.402884550225,22.237179629937,-2.93742495947403,"54845","ESRP1","epithelial splicing regulatory protein 1"
"209242_at","209242_at",2.56013919200024e-11,5.06918103912609e-14,16.3801262553102,22.2088088512948,2.90684041401757,"5178","PEG3","paternally expressed 3"
"222877_at","222877_at",2.66071162952647e-11,5.3385628555893e-14,16.3395832171196,22.1581738826335,3.42283374348362,"8828","NRP2","neuropilin 2"
"218901_at","218901_at",2.89313296417409e-11,5.95766331922433e-14,16.2539498781033,22.0508294029599,2.62273819041741,"57088","PLSCR4","phospholipid scramblase 4"
"203498_at","203498_at",2.98079706383085e-11,6.2340916227853e-14,16.2186641088882,22.0064405475733,3.14938541186182,"10231","RCAN2","regulator of calcineurin 2"
"203881_s_at","203881_s_at",2.98079706383085e-11,6.29557434675716e-14,16.211037375809,21.9968341778893,2.77968065892402,"1756","DMD","dystrophin"
"205517_at","205517_at",3.0466528321358e-11,6.51509793027614e-14,16.1844249858312,21.9632804344307,2.71040567952169,"2626","GATA4","GATA binding protein 4"
"1553613_s_at","1553613_s_at",3.21147084550521e-11,6.95233669495294e-14,16.1340931781384,21.8996769275652,2.1993925798396,"2296","FOXC1","forkhead box C1"
"213429_at","213429_at",3.44374513768331e-11,7.54609130439081e-14,16.0707807705858,21.8194022029153,2.32834998695907,"80114","BICC1","BicC family RNA binding protein 1"
"230081_at","230081_at",3.55111879488707e-11,7.87512484213828e-14,16.0378919812317,21.7775837398368,3.37362609479524,"345557","PLCXD3","phosphatidylinositol specific phospholipase C X domain containing 3"
"205932_s_at","205932_s_at",4.15982189226823e-11,9.33483449080731e-14,-15.9074197711937,21.6108846743718,-4.48114961951265,"4487","MSX1","msh homeobox 1"
"209243_s_at","209243_s_at",4.91874250823144e-11,1.13928372860471e-13,15.7556918686216,21.4154014790813,3.08831970329164,"5178","PEG3","paternally expressed 3"
"229529_at","229529_at",4.91874250823144e-11,1.14274602862972e-13,15.7533904213289,21.4124227600766,2.00029706851513,"6943","TCF21","transcription factor 21"
"214799_at","214799_at",5.42037679840638e-11,1.27359822339661e-13,15.6713503531716,21.3059729389931,2.15683087391891,"23114","NFASC","neurofascin"
"228956_at","228956_at",5.69300086804251e-11,1.35268514209786e-13,-15.625915175458,21.2467949253097,-3.14954097639524,"7368","UGT8","UDP glycosyltransferase 8"
"201430_s_at","201430_s_at",6.1561037843465e-11,1.4952255878343e-13,15.5506029448987,21.148348606729,2.86068225700415,"1809","DPYSL3","dihydropyrimidinase like 3"
"205234_at","205234_at",6.59036189535819e-11,1.63197532126695e-13,15.4850649453195,21.0623172766799,2.47587531948151,"9122","SLC16A4","solute carrier family 16 member 4"
"213823_at","213823_at",7.62053902043038e-11,1.97162686520455e-13,-15.3442617342556,20.8763379298888,-3.14526972024245,"3207","HOXA11","homeobox A11"
"1552767_a_at","1552767_a_at",8.72872102818735e-11,2.32747458642727e-13,15.2215736952827,20.7129961568966,2.99055593440701,"90161","HS6ST2","heparan sulfate 6-O-sulfotransferase 2"
"239468_at","239468_at",8.87937977673211e-11,2.39108912093214e-13,15.2017123485974,20.686439664156,3.32156714357833,"283078","MKX","mohawk homeobox"
"241789_at","241789_at",8.90699220445278e-11,2.42203969866053e-13,15.1922470229138,20.673772411495,2.57246776243758,"27303","RBMS3","RNA binding motif single stranded interacting protein 3"
"223423_at","223423_at",9.44849508311071e-11,2.61917731592646e-13,-15.1347627076342,20.5966863600698,-2.49251307886703,"26996","GPR160","G protein-coupled receptor 160"
"204779_s_at","204779_s_at",9.81093790516668e-11,2.74554997082124e-13,-15.1002335222833,20.5502538259321,-2.29850635579815,"3217","HOXB7","homeobox B7"
"220272_at","220272_at",1.00042749444781e-10,2.90530187415542e-13,15.0588769047676,20.4945121375952,2.61464612201198,"54796","BNC2","basonuclin 2"
"239309_at","239309_at",1.09191974607925e-10,3.22545705851376e-13,-14.9826801988795,20.3914447091155,-2.41029269394764,"1750","DLX6","distal-less homeobox 6"
"208493_at","208493_at",1.09191974607925e-10,3.25748274214465e-13,-14.9754951692638,20.3817012291818,-2.49731422196175,"3207","HOXA11","homeobox A11"
"224428_s_at","224428_s_at",1.10288581912211e-10,3.31931420296534e-13,-14.9618286795666,20.3631566053124,-3.93658675375293,"83879","CDCA7","cell division cycle associated 7"
